strategy,capacity,reviews,precision,fraud_recall,fraud_amount_captured,fraud_value_capture
probability,25,25.0,0.12,0.04918032786885246,6070.030000000001,0.1560167150393202
probability,50,50.0,0.18,0.14754098360655737,11132.31,0.2861314420191291
probability,100,100.0,0.13,0.21311475409836064,21600.52,0.5551936602522781
probability,250,250.0,0.092,0.3770491803278688,29922.7,0.7690969170015742
probability,500,500.0,0.076,0.6229508196721312,33823.16,0.8693496268468743
probability,750,750.0,0.06,0.7377049180327869,35914.66,0.9231070151142697
probability,1000,1000.0,0.052,0.8524590163934426,38237.840000000004,0.9828192260992316
expected_loss,25,25.0,0.24,0.09836065573770492,16538.129999999997,0.4250761059654123
expected_loss,50,50.0,0.16,0.13114754098360656,20359.809999999998,0.5233039499021752
expected_loss,100,100.0,0.15,0.2459016393442623,27137.33,0.697505132847448
expected_loss,250,250.0,0.092,0.3770491803278688,31930.4,0.8207004113474742
expected_loss,500,500.0,0.072,0.5901639344262295,36863.61,0.9474976790379345
expected_loss,750,750.0,0.058666666666666666,0.7213114754098361,37817.25,0.972008889053387
expected_loss,1000,1000.0,0.052,0.8524590163934426,38650.560000000005,0.9934272821765538
expected_review_value,25,25.0,0.24,0.09836065573770492,16538.129999999997,0.4250761059654123
expected_review_value,50,50.0,0.16,0.13114754098360656,20359.809999999998,0.5233039499021752
expected_review_value,100,100.0,0.15,0.2459016393442623,27137.33,0.697505132847448
expected_review_value,250,250.0,0.092,0.3770491803278688,31930.4,0.8207004113474742
expected_review_value,500,500.0,0.072,0.5901639344262295,36863.61,0.9474976790379345
expected_review_value,750,750.0,0.058666666666666666,0.7213114754098361,37817.25,0.972008889053387
expected_review_value,1000,1000.0,0.052,0.8524590163934426,38650.560000000005,0.9934272821765538
